success,timeout,failed_images,failed_audio,failed_video,screen_id,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ppt_id,age,race,ethnicity,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,strategy_response,question_order
NA,NA,NA,NA,NA,choice_trial,survey-html-form,77,374886,0.0-4.0-1.36,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,6384,NA,"{""product_choice"":""B""}",choice,tc,binary,attraction,NA,microwave ovens,null,null,null,null,null,null,1,60,50,null,50,60,null,Warranty,Cooking power,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,78,375201,0.0-4.0-0.37,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,null,<p></p>,null,choice,tc,binary,repulsion,1,laptops,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,79,382786,0.0-4.0-1.37,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,7579,NA,"{""product_choice"":""B""}",choice,tc,binary,repulsion,1,laptops,null,null,null,null,null,null,1,100,90,null,30,40,null,Processing speed,Memory (RAM),NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,80,383104,0.0-4.0-0.38,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,null,<p></p>,null,choice,wb,binary,catch,null,microwave ovens,75,60,25,15,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,81,389310,0.0-4.0-1.38,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,6202,NA,"{""product_choice"":""B""}",choice,wb,binary,catch,null,microwave ovens,75,60,25,15,null,null,1,null,null,null,null,null,null,Warranty,Cooking power,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,82,389618,0.0-4.0-0.39,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,null,<p></p>,null,choice,dtc,trinary,attraction,2,televisions,null,null,null,null,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,83,399437,0.0-4.0-1.39,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,9814,NA,"{""product_choice"":""C""}",choice,dtc,trinary,attraction,2,televisions,null,null,null,null,null,null,2,50,60,40,60,50,60,Screen size,Average lifespan,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,84,399747,0.0-4.0-0.40,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,null,<p></p>,null,choice,tc,binary,repulsion,1,washing machines,null,null,null,null,null,null,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,85,404404,0.0-4.0-1.40,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,4654,NA,"{""product_choice"":""B""}",choice,tc,binary,repulsion,1,washing machines,null,null,null,null,null,null,2,100,90,null,30,40,null,Average lifespan,Energy savings,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,86,404722,0.0-4.0-0.41,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,null,<p></p>,null,choice,tcd,trinary,repulsion_B,2,microwave ovens,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,87,411565,0.0-4.0-1.41,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,6838,NA,"{""product_choice"":""B""}",choice,tcd,trinary,repulsion_B,2,microwave ovens,null,null,null,null,null,null,1,40,30,40,90,100,80,Warranty,Cooking power,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,88,411871,0.0-4.0-0.42,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,null,<p></p>,null,choice,dct,trinary,attraction,1,televisions,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,89,1797890,0.0-4.0-1.42,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,1386014,NA,"{""product_choice"":""A""}",choice,dct,trinary,attraction,1,televisions,null,null,null,null,null,null,1,60,50,60,50,60,40,Screen size,Average lifespan,NA,NA
NA,NA,NA,NA,NA,choice_trial_setup,html-keyboard-response,90,1798200,0.0-4.0-0.43,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,null,<p></p>,null,choice,ct,binary,repulsion,2,washing machines,null,null,null,null,null,null,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,choice_trial,survey-html-form,91,1803126,0.0-4.0-1.43,128,1,2025-05-01T22:28:20Z,b60275e29fe2361ab97ac0ac217840d7,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:137.0) Gecko/20100101 Firefox/137.0,NA,Firefox,137,Windows,10,https://5puzkbbxv1.cognition.run/?sona_id=57989,"en-US,en;q=0.5",1t463yqaov9lq6o,18,"[""Asian""]",No,Female,"India, 18 years",No,2205236,NA,4920,NA,"{""product_choice"":""B""}",choice,ct,binary,repulsion,2,washing machines,null,null,null,null,null,null,1,30,40,null,100,90,null,Average lifespan,Energy savings,NA,NA
