participant,screen_id,trial_index,time_elapsed,internal_node_id,condition,user_agent,device,browser,ppt_id,gender,other_countries,prev_study,exp_duration,view_history,rt,stimulus,response,phase,order,set,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d1_c,d1_d,d2_t,d2_c,d2_d,d1_name,d2_name,choice
47,choice_trial,45,255554,0.0-4.0-1.20,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,5.516,NA,B,choice,dtc,trinary,repulsion_A,2,televisions,NA,NA,NA,NA,NA,NA,2,30,40,20,100,90,100,Screen size,Average lifespan,t
47,choice_trial,47,262653,0.0-4.0-1.21,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,6.789,NA,A,choice,tcd,trinary,attraction,2,televisions,NA,NA,NA,NA,NA,NA,2,50,60,40,60,50,60,Screen size,Average lifespan,t
47,choice_trial,49,270269,0.0-4.0-1.22,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,7.307,NA,A,choice,tcd,trinary,repulsion_A,1,microwave ovens,NA,NA,NA,NA,NA,NA,1,100,90,100,30,40,20,Warranty,Cooking power,t
47,choice_trial,51,276441,0.0-4.0-1.23,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,5.857,NA,C,choice,dct,trinary,repulsion_A,2,microwave ovens,NA,NA,NA,NA,NA,NA,2,30,40,20,100,90,100,Warranty,Cooking power,t
47,choice_trial,53,281562,0.0-4.0-1.24,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,4.811,NA,B,choice,wbw,trinary,catch,NA,microwave ovens,95,70,5,20,5,10,1,NA,NA,NA,NA,NA,NA,Warranty,Cooking power,b
47,choice_trial,55,288115,0.0-4.0-1.25,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,6.243,NA,A,choice,tcd,trinary,attraction,1,televisions,NA,NA,NA,NA,NA,NA,2,60,50,60,50,60,40,Screen size,Average lifespan,t
47,choice_trial,57,293742,0.0-4.0-1.26,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,5.317,NA,B,choice,ctd,trinary,repulsion_A,1,washing machines,NA,NA,NA,NA,NA,NA,1,100,90,100,30,40,20,Average lifespan,Energy savings,t
47,choice_trial,59,297210,0.0-4.0-1.27,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,3.157,NA,A,choice,tcd,trinary,attraction,1,microwave ovens,NA,NA,NA,NA,NA,NA,1,60,50,60,50,60,40,Warranty,Cooking power,t
47,choice_trial,61,299927,0.0-4.0-1.28,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,2.406,NA,A,choice,tc,binary,attraction,NA,microwave ovens,NA,NA,NA,NA,NA,NA,1,60,50,NA,50,60,NA,Warranty,Cooking power,t
47,choice_trial,63,304581,0.0-4.0-1.29,1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",Macintosh,Safari,bvf665e21o5ypl7,Female,"India - 18 years 
US - 2 years",I'm not sure,434730,NA,4.341,NA,C,choice,cdt,trinary,repulsion_B,2,televisions,NA,NA,NA,NA,NA,NA,1,40,30,40,90,100,80,Screen size,Average lifespan,t
